municipality,barangay,district,lat,lon,elevation_m
Umingan,SanAndres,6,15.9028,120.74565,58.0
Umingan,SanJuan,6,15.846791,120.7852,125.0
Umingan,SanLeon,6,15.908729,120.730271,53.0
Umingan,SanPablo,6,15.8533,120.756267,71.0
Umingan,SanVicente,6,15.876944,120.771775,69.0
Umingan,SantaMaria,6,15.914922,120.779611,75.0
Umingan,SantaRosa,6,15.87836,120.74549,59.0
Umingan,Sinabaan,6,15.929462,120.758363,63.0
Umingan,TanggalSawang,6,15.9428,120.75196,53.0
UrdanetaCity,Anonas,5,16.001314,120.577886,27.0
UrdanetaCity,BactadEast,5,15.98535,120.626817,33.0
UrdanetaCity,Bayaoas,5,15.977457,120.579443,32.0
UrdanetaCity,Bolaoen,5,15.99705,120.6132,33.0
UrdanetaCity,Cabaruan,5,15.9476,120.520683,25.0
UrdanetaCity,Cabuloan,5,15.97556,120.5997,37.0
UrdanetaCity,Camanang,5,15.962029,120.585157,30.0
UrdanetaCity,Camantiles,5,15.999229,120.545095,25.0
UrdanetaCity,Casantaan,5,15.991557,120.6122,31.0
UrdanetaCity,Catablan,5,15.980508,120.493342,16.0
UrdanetaCity,Cayambanan,5,16.006733,120.586933,29.0
UrdanetaCity,Consolacion,5,15.96005,120.61695,30.0
UrdanetaCity,DilanPaurido,5,15.982975,120.584862,28.0
UrdanetaCity,Dr.PedroT.Orata,5,15.982133,120.614633,34.0
UrdanetaCity,LabitProper,5,15.961967,120.533333,20.0
UrdanetaCity,LabitWest,5,15.960729,120.507143,19.0
UrdanetaCity,Mabanogbog,5,15.985571,120.550257,25.0
UrdanetaCity,Macalong,5,15.966733,120.617183,31.0
UrdanetaCity,Nancalobasaan,5,16.00953,120.60469,32.0
UrdanetaCity,NancamaliranEast,5,15.978833,120.558017,24.0
UrdanetaCity,NancamaliranWest,5,15.975814,120.547871,30.0
UrdanetaCity,Nancayasan,5,15.961167,120.573378,29.0
UrdanetaCity,Oltama,5,15.938817,120.506367,32.0
UrdanetaCity,PalinaEast,5,15.954467,120.560583,31.0
UrdanetaCity,PalinaWest,5,15.95975,120.545587,22.0
UrdanetaCity,Pinmaludpod,5,15.993575,120.523992,24.0
UrdanetaCity,Poblacion,5,15.9788,120.56842,26.0
UrdanetaCity,SanJose,5,15.993071,120.501857,22.0
UrdanetaCity,SanVicente,5,15.989957,120.568386,31.0
UrdanetaCity,SantaLucia,5,15.96884,120.55522,23.0
UrdanetaCity,SantoDomingo,5,15.96472,120.56184,24.0
UrdanetaCity,Sugcong,5,15.944443,120.541043,27.0
UrdanetaCity,Tipuso,5,15.974929,120.620657,34.0
UrdanetaCity,Tulong,5,16.005777,120.561831,33.0
Villasis,Amamperez,5,15.889357,120.537971,28.0
Villasis,Bacag,5,15.94225,120.586733,28.0
Villasis,Barangobong,5,15.8893,120.560333,26.0
Villasis,Barraca,5,15.918445,120.571791,26.0
Villasis,Capulaan,5,15.9044,120.541167,39.0
Villasis,Caramutan,5,15.926743,120.615186,30.0
Villasis,LaPaz,5,15.9178,120.51852,72.0
Villasis,Labit,5,15.93212,120.53218,45.0
Villasis,Lipay,5,15.903943,120.605343,29.0
Villasis,Lomboy,5,15.917533,120.59255,27.0
Villasis,Piaz,5,15.942733,120.630389,34.0
Villasis,Puelay,5,15.896544,120.5858,31.0
Villasis,SanBlas,5,15.91576,120.60112,28.0
Villasis,SanNicolas,5,15.922929,120.587429,27.0
Villasis,Tombod,5,15.9424,120.55932,24.0
Villasis,Unzad,5,15.919429,120.538629,44.0
Villasis,ZoneI,5,15.90652,120.59052,27.0
Villasis,ZoneII,5,15.9035,120.58634,30.0
Villasis,ZoneIII,5,15.90428,120.58448,30.0
Villasis,ZoneIV,5,15.90622,120.58328,32.0
Villasis,ZoneV,5,15.90906,120.5876,28.0
